"IDYEARS","REGIONGROUP","LABEL_REGIONGROUP","CAT","HEALTHCARE_RATIO","PRODUCTIVITY_RATIO","DISUTILITY_RATIO","PRODUCTIVITY_DISUTILITY_RATIO","REGION_4LETTER","REGION_4LETTER_LABEL","ISO3","COUNTRY"
2025,"SAF","Southern Africa","MORB",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","LSO","Lesotho"
2025,"SAF","Southern Africa","MORB",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","MOZ","Mozambique"
2025,"SAF","Southern Africa","MORB",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","MWI","Malawi"
2025,"SAF","Southern Africa","MORB",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","NAM","Namibia"
2025,"SAF","Southern Africa","MORB",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","SWZ","Swaziland"
2025,"SAF","Southern Africa","MORB",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","ZMB","Zambia"
2025,"SAF","Southern Africa","MORB",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","ZWE","Zimbabwe"
2025,"SAF","Southern Africa","MORB",NA,NA,NA,NA,"SAFR","South Africa","ZAF","South Africa"
2025,"SAF","Southern Africa","MORT",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","AGO","Angola"
2025,"SAF","Southern Africa","MORT",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","BWA","Botswana"
2025,"SAF","Southern Africa","MORT",NA,NA,NA,NA,"RSAF","Remaining Southern Africa","LSO","Lesotho"
