"IDSCENARIOS","IDYEARS","REGION_4LETTER","POPULATION","GDP_GUSD2017_PPP","CO2 Mt CO2/yr","CH4 kt/yr","PM25_TOTAL","PM25_SELF","PM25_EXPORT","AP_CONTROL_COSTS_MEUR2015","AP_PLUS_CH4_CONTROL_COSTS_MEUR2015"
"Delayed Action",2025,"MALA",34723700,1090.28,43231,357567.618,14.064,12.841,4.918,NA,NA
"Delayed Action",2025,"MALT",517400,29.076,43231,357567.618,12.102,1.338,0,NA,NA
"Delayed Action",2025,"MEXI",130410500,2793.85,43231,357567.618,12.341,9.285,0.051,NA,NA
"Delayed Action",2025,"MIDE",152517600,2346.779,43231,357567.618,37.935,7.932,3.525,NA,NA
"Delayed Action",2025,"MOLD",3054300,37.76,43231,357567.618,12.383,5.49,0.371,NA,NA
"Delayed Action",2025,"MONG",3507600,46.817,43231,357567.618,23.683,15.506,0.071,NA,NA
"Delayed Action",2025,"MONT",648600,15.24,43231,357567.618,20.272,14.294,0.508,NA,NA
"Delayed Action",2025,"MYAN",54951000,238.781,43231,357567.618,9.143,4.252,0.194,NA,NA
"Delayed Action",2025,"NAFR",105405100,1177.352,43231,357567.618,24.464,9.343,0.386,NA,NA
"Delayed Action",2025,"NEPA",30601000,136.076,43231,357567.618,32.466,15.426,0.857,NA,NA
"Delayed Action",2025,"NETH",17584100,1068.58,43231,357567.618,8.898,2.647,2.066,NA,NA
"Delayed Action",2025,"NIGE",232143600,1185.13,43231,357567.618,34.32,7.92,0.628,NA,NA
"Delayed Action",2025,"NORW",5506800,381.285,43231,357567.618,2.913,1.149,0.187,NA,NA
"Delayed Action",2025,"NZEL",5180200,242.258,43231,357567.618,2.653,1.27,0,NA,NA
"Delayed Action",2025,"PAKI",248720000,1360.53,43231,357567.618,66.894,39.582,6.825,NA,NA
"Delayed Action",2025,"PARA",7002600,103.285,43231,357567.618,9.187,3.338,0.022,NA,NA
"Delayed Action",2025,"PERU",34546700,474.594,43231,357567.618,17.245,9.811,0.182,NA,NA
"Delayed Action",2025,"PHIL",119754000,1173.33,43231,357567.618,7.748,7.095,0.196,NA,NA
"Delayed Action",2025,"POLA",39009400,1472.02,43231,357567.618,12.021,8.018,11.889,NA,NA
"Delayed Action",2025,"PORT",10195100,392.799,43231,357567.618,7.465,3.945,0.106,NA,NA
"Delayed Action",2025,"ROMA",18885400,670.387,43231,357567.618,13.577,8.451,5.067,NA,NA
